id,text
1131286328279229952,@usuario @usuario Porque ahora? Esto a ocurrido hace mucho tiempo? Lo pasa es que se quiere victimizar a inmigrantes y asi validar su llegada y privilegiar sus derechos.
1166902998930510080,"@usuario @usuario En este país todo lo que está al lado de la izquierda es intocable, desaparezca dinero, corrupción, droga, ingreso ilegal de inmigrantes, Sename, etc., no hay culpables. La administración del Estado necesita un cambio rotundo, partiendo por el Congreso y eliminar la agenda 2030."
1156576462876630016,"@usuario Don Marcelo y esos datos de donde los saca si ni siquiera tienen idea del@usuario en la@usuario sur . Por favor esa@usuario usted se la cree . Además. Quitar empleo en Mexico para crearlo en centro@usuario es una traicion al país , no lo cree ?"
1394692809307970048,"@usuario No los veo deambular ni mucho menos desnutridos como para seguir llamándolo ""crisis migratoria"""
1278697895923990016,"@usuario Interesante el programa de astronomia, pero de poco uso. Seria mejor dedicar el tiempo para el problema de inmigracion ilegal que prolifera en este condado, y donde hay muchos casos que los que escuchan a la Poderosa pueden hablar con experiencia propia."
1328890554114070016,@usuario @usuario @usuario @usuario Si todos los migrantes colombianos que llegaron a Venezuela tenían uriola y alitas.
1099137705747849984,"@usuario de la manera mas atenta ya es hora de que mande al ejército a la frontera sur, y no permitir que pase ningún indocumentado, y si los militares son agredidos, darles la orden de responder con gran fuerza, el respeto se gana Sr presidente, tenga la palabra de fuerza"
1317863479194330112,"@usuario Sembrando odio? Solo porque quiere acabar con los violentistas antifas que destruyen? Odio porque quiere regularizar la inmigración descontrolada que sufre EEUU? Odio porque defiende la familia y los valores cristianos de EEUU? Amigo, cambie CNN y vea otro tipo de noticias."
1248150883134850048,"Ser estadounidense y zurdo debería ser considerado un crimen. Y sobre todo si sos inmigrante, y SOBRE TODO si sos latino."
1380892419626010112,"el fomento de los sindicatos de clase como jaurías callejeras al servicio de la extrema izquierda a costa del dinero público, el derroche de las reservas para futuras pensiones, el inicio de un infame plan para comprar a través de falsas ONGs, 1 millón de inmigrantes (sigue)"
1176531787771760128,"@usuario cuánta más sangre de los peruanos quiere?? De la cara. Póngase firme. Ordene la política migratoria. Si usted no puede, hágase a un costado."
1227254385962609920,Pero hashtag el cacas puso a la inútil y espurea @usuario para quedar bien con su pasado comunista y terrorista. No es lo mismo asesinar y poner bombas que cuidar migrantes. No es lo mismo. hashtag 4ta transformacion hashtag 4tadefecacion
