_id,label,a_code,text
1321993399340310528,crimen,,"xenofobia deveria darles verguenza la mayoria de venezolanos vieron a matar y a robar""no todos pero si la mayoria ya estamos cansados mamados de tanta cochinada hasta que les pase alguno de ustedes no vamos a tomar conciencia payasos cojan oficio"
1144924580257181696,crimen,,"migracion, crimen, comercio y ausencia de amlo en osaka via"
1361928527440871424,crimen,,madre de dios: caravana de migrantes haitianos ingresa por la fuerza al peru en frontera con brasil | rpp noticias estos salvajes andan por el mundo haciendose odiar por su salvajeria y modo tribal
1151636912014352384,crimen,PER,se tiene que activar las rondas de autodefensa. la migracion venezolana es el nuevo terrorismo.
1167814022965747712,crimen,,que atroz pero dejaron entrar a la peor delincuencia de latinoamerica la colombiana hasta en venezuela les tenian miedo como an
1392145304112271361,crimen,,"quien es ese beodo,de donde sacan a tantos mentirosos compulsivos,el venezolano debe despertar y reaccionar ante criminales y delincuentes como ese."
1279897417400360961,crimen,,no suficiente con los malos de colombia ahora se disputan los criminales venezolanos el territorio. que falta de autoridad se vive. porque razon se permitio el ingreso de tantos vecinos indeseables. presidente la mayoria los repudiamos.
1360658188048154626,crimen,PER,"ok entos se devuelve a todos los venezolanos aqui en peru,ok. hagalo. la delincuencia no tienen nacionalidad. hay lacras peruanos y tmb los hay aqui venezolanos que asesinan todo el dia. no es la solucion"
1248003596324466688,crimen,,ya sabemos q muchos bichos(algunos trenes) delincuentes aprovecharon esa disociacion migratoria para hacer fechorias por alla y desprestigiar a venezuela por supuesto q se retornaran porq al quedar pocos venezolanos se delatarian muy rapido *alerta sin recibir soborno*
1224096655978397696,crimen,ECU,"oye mashi, tengo ganas de preguntar: que harias con los delincuentes venezolanos que son atrapados aca en ecuador ? es que como tu eres panita de maduro capaz los perdonas y dejas que nos sigan matando."
1422971147059085312,crimen,PER,espero que en 72 horas expulsen a estos delincuentes venezolanos y nunca mas lo dejen ingresar. respeten lo prometido por beto asaber willax
1322617985920622592,crimen,,"solo mira estadisticas , aparte de que es injusto que quieras normalizar a los inmigrantes ilegales, los crimenes y delitos son de muchos inmigrantes ilegales. y todavia quieres que trump no sea duro con las politicas migratorias? por favor"
1220691557877198849,crimen,,dice trun que ahi no apliquemos abrazos puro macanazos a los inmigrantes delincuentes
1469130149685874691,crimen,CHL,los inmigrantes que vienen solos son los peligrosos que pueden ser narcos o delincuentes. candidato llego tu hora kast presidente no mas inmigrantes
1482759421390319618,crimen,CHL,"deportar a los delincuentes aca entraron como turistas, o pasando por pasos no habilitados, vienen con antecedentes de crimenes en su pais, no podemos regularizarlos!!"
1436302131015921684,crimen,,"deja de mentir. en que momento he criminalizado a los inmigrantes? repito, que no te entra en la mollera; dar datos no es criminalizar. sin embargo, tu has descalificado despectivamente a una minoria. entonces, en que grupo de esos que has citado estrarias?"
1473289863252389889,crimen,,"comparto mi columna: el crimen organizado es el facilitador para la migracion ilegal. mientras no se combatan a esas organizaciones, el drama de la migracion ilegal seguira siendo lucrativo. realidades de la migracion ilegal | el economista"
1163653451072622592,crimen,PER,"los delincuentes extranjeros son de italia, alemania, francia o venezolanos??, especifiquen senores de la prensa o tiene verguenza hacerlo porque siguen avalando la invasion venezolana."
1218212695448657920,crimen,,ahora va a decir que entre todos esos migrantes no hay delincuentes todos son mansas palomas pues la delincuencia los ladrones atracadores asesinos hay que atacarlos sean o no sean extranjeros
1172815207997018112,crimen,,muy bien afuera los inmigrantes delincuentes
1428683474379190275,crimen,ECU,"como se ha tergiversado esta declaracion que deberia ser copiada por las blandengues autoridades del ecuador. la alcaldesa dice claramente: un escuadron contra los delincuentes venezolanos, no a todos."
1464014948107968519,crimen,PAN,"en esa manifestacion veras a puros venezolanos, por que las otras nacionalidades son respetuosas a nuestras leyes."
1370213559649632262,crimen,VEN,excelente lo unico es que se le escaparon unas pocas groserias jj pero se justifica ante un hp que considera que todos los venezolanos son delincuentes algun dia lo pagara esa lacra de la politica peruana pero se que los buenos peruanos son la mayoria
1242898566160486406,crimen,PER,"quienes se creen estos delincuentes venecos amenazan todavia, malditos desgraciados matones tenian que ser larguence a su pais cagadas de mierda, ni creen que nos vamos a quedar tranquilos venecos lacras.."
1267867652426551297,crimen,ECU,"nuestro reclamo es justo. no hemos procedido asi con otros migrantes, ej. colombianos, cubanos, haitianos, argentinos, chilenos, etc. porq no han tenido la prepotencia de ofendernos, robarnos y asesinarnos. dios escuchara nuestros ruegos"
1487157015529074691,crimen,,entonces venga a poner la cara usted aca en iquique para que sienta lo que es recibir un manoplazo en todo su hocico de parte de un delincuente venezolano politicos malditos opinando imbecilidades desde la comodidad y seguridad de sus casas..!!
1361033212143808515,crimen,PER,"no lo mataron por ser venezolano, sino por cupos. si, habia delincuencia en peru, pero aumento con la llegada de los venezolanos."
1242814715484606464,crimen,,mano firme deporten los venezolanos vandalos delincuentes..vamos colombia
1176630482836119558,crimen,,inmigrantes manga de delincuentes.
1237833615431684096,crimen,ARG,"gusano, eso eres, en arg. un criminal venezolano refugiado que era asistido x el gob de la ciudad, asesino al turista ingles para robarle el relog, no es solo ese caso. vayanse traficantes y mafiosos"
1113609222825107457,crimen,CHL,"que hace esta mujer en la protesta?? se le olvido la pluma?? una mapuche bronceada,con cachirulos? cualquiera sirve para salir a hacer destrozos, pero esta mujer inmigrante destrozando el pais que la ha recibido, le ha dado una oportunidad, esa es su forma de agradecer a ??"
1440448368992407564,crimen,,"odio que le tienen a donald trump , y el presidente nayib quiso ayudar a frenar inmigracion y flujo de drogas. y eso es algo que no comprendo por que los democratas no agradecen."
1322024083719098369,crimen,,"y el metro corrupto que le metieron a bogota, donde se perderan billones, ?es tambien culpa de los delincuentes venezolanos? como ya no hay a quien culpar, culpemos a los extranjeros"
1150998214578987008,crimen,VEN,"muchas gracias por el video, me parece muy sensato el sr. que reconoce que hubo brutalidad y abuso de la policia y tambien que es un grupo que no es representativo del grueso de la migracion venezolana recibida, todo el peso de la ley a los delincuentes, pero sin abuso."
1359949915108110336,crimen,PER,"lee nuevamente lo que has escrito. ahi esta su respuesta. maduro y su barco gobierno, sus delincuentes, lastimosamente venezolanos, pero no todos somos lo que dices, muchos andamos por este mundo demostrando que los buenos somos mayoria"
1283738236788015106,crimen,,"siempre a existido la delincuencia en el peru eso no se puede negar, pero ya tenemos suficiente con nuestra propia delincuencia para aceptar delincuencia extranjera por favor de verdad ya es el limite, muchos venezolanos solo vienen a robar al peru, entran y salen de peru."
1179145736161767424,crimen,,"eso se sabe, pero ya es hora mano dura contra melandros y asesinos, algun control venezolano sin ap de ningun tipo deberian de tomar alguna accion. recuerde toda paciencia tiene su limite y al peru poco a poco se le agota"
1463226284071337989,crimen,,"bueno, se le paga cuando acabe con la delincuencia, el narcotrafico, la migracion ilegal, los ataques en la araucania y el pais crezca al 7%."
1194720107634798593,crimen,ECU,"puro delincuente comunista venezolano, calidad de exportacion. nota: no estoy diciendo que todos los venezolanos son delincuentes, solo los que queman edificios y saquean."
1145348187290578946,crimen,,acusan a elementos del instituto nacional de migracion de trafico ilegal de migrantes
1442259848591151105,crimen,CHL,el aumento de la delincuencia se debe a la inmigracion masiva que usted apoya.
1349707835500802050,crimen,CHL,"chile se encuentra colapsado de tanta corrupcion, robos y balazos, todos los dias! y esto por permitir el ingreso de miles de extranjeros sin mediar control de antecedentes! poblaciones secuestradas por el narcotrafico! ahi tiene sus derechos humanos"
1369615693088514055,crimen,,"al frente de los estamentos gubernamentales solo tenemos personas incapaces y corruptas, hace mucho q el cono norte esta infestado d venezolanos ilegales y en su mayoria son delincuentes, hasta cuando"
1445373825642897414,crimen,ECU,"los inmigrantes ilegales de cualquier nacionalidad, que deambulen por calles del pais, la mayoria delinquiendo y obligando con violencia q les den dinero, deben deportarlos sin demora ni excusas. todos los paises del mundo lo hacen."
1346807852715945984,crimen,,"que crees, no se hara nada. asi esta funcionando el sistema. las veces q han deportado, ha sido por milagro y por los cargos de delincuencia de estas visitas."
1225851094162644994,crimen,,"entonces porque estos de la onu que no sirven para la mierda, vienen y se llevan a estos venezolanos a sus paises a sus casas y les mantiene. estos delincuentes venezolanos"
1450213642679508999,crimen,COL,que seguridad tan hp! no contento con los delincuentes de colombia trajo a delincuentes venezolanos..
1189965039802966016,crimen,CHL,expulsen a la lacra migrante que solo vienen a delinquir
1123311553716129799,crimen,,"deberias de dejar de ser tan imbecil, la migracion se esta volviendo un maldito problema, que no ves que a aumentado la violencia a niveles jodidos?, los problemas de migracion no le corresponden a mexico, ellos migran por sus presidentes, gente con ideas comunistas que los a.."
1341732134130765830,crimen,CHL,"yo apoyo al inmigrante decente, no al delincuente.."
1370444090312167430,crimen,COL,"estimado carlos fernando, reflexione, buena parte de los venezolanos son criminales que invadieron a colombia. la alcaldesa esta llamando al pan pan y al vino vino.. a los que agarren, hay q darles paloterapia 1o que todo, luego carcel, y luego expulsarlos de x vida.!"
1179788092833751040,crimen,ECU,si no quieren acatar de no ocupar espacio publico revisen papeles migratorios y ya deporten a estos venezolanos delincuentes disfrasados de refugiados
1083814843994554374,crimen,CHL,aca esperando que usted busque responsabilidad politica de bachelet en el caso del trafico de inmigrantes de los consul del gobierno anterior
1143962490293891078,crimen,,por eso trom no quiere a los migrantes danan la reputacion de un pais y un gobierno y aun a esto aun se les da dinero que mal
1364164795340120067,crimen,,"ud es un mal presidente, el peor de la historia no le los derechos de los colombianos y mas aun quiere proteger los delincuentes venezolanos que han asesinado y hecho tanto dano a colombia. deberia darle verguenza y trabajar por su pais. nos equivocamos eligiendole"
1238558933733838848,crimen,,"cierre las fronteras y que no vengan mas venezolanos, por tanta delincuencia."
1389195705240129539,crimen,CHL,"eso es lo que yo estoy diciendo. la palabra extranjero no distingue, es un colectivismo. si son los delincuentes venezolanos que estan en colombia para joder y muy probablemente llevar a cabo una agenda politica, pues se les refiere como delincuentes venezolanos."
1100802491615232000,crimen,,habia menos!! pero a ti que te pasa que si es un inmigrante ya no te importa tanto que agreda a una mujer??que hipocresia..lamentable
1399956244337676288,crimen,PER,"no veo nada de malo, tiene razon. ?saben como es la situacion en venezuela? preguntenle a un venezolano, ?que hace el estado con el monopolio de armas? y sobre la impunidad de los delincuentes que atacan a los ciudadanos de a pie."
1322360762237636610,crimen,,"si los colombianos desde la epoca de bolivar han sido traidores, analice los numeros. delincuentes el 22% de los colombianos que huyeron a venezuela en los 80 y 90, en colombia solo el 5% de los delitos los cometen extranjeros y de ese 5 solo el 2,3% lo cometen venezolanos."
1375465620905586688,crimen,,"el barrio mas peligroso de venezuela es petare y la mayoria son colombiano cuando ustedes emigraron aqui se le abrio las puertas, estafaban robaban jodian y nosotros lo venezolanos no andamos con esa paja que anda ustedes contra nosotros y ahora es que hay colombianos en venezuel"
1365660457445523458,crimen,MEX,"no solo los colombianos, cubanos, venezolanos, etc etc, la mayoria delincuentes"
1322490573081772032,crimen,VEN,"a cualquier malandro. pero al venezolano malandro debe castigarse con mas fuerza. o usted es de las que defiende malandros?. porque yo los odio. yo estuve en peru y colombia y vi como se comportan y en verdad dan verguenza. no salen a trabajar, salen a delinquir."
1393222431607775236,crimen,PER,infames .. ya basta con estos delincuentes venezolanos .. erradicarlos a todos!!
1175730516492005377,crimen,,"esos son los delincuentes venezolanos, ""luchadores de la democracia y la libertad"", que han traido y protegen los delincuentes aprofujimoristas."
1116781208355184641,crimen,MEX,no entiendo porque el gobierno les permiten tantas cosas a los traficantes de migrantes como pueblos sin fronteras y irineo mujica.. siguen y siguen traficando y enganando a los migrantes. a esta gente no le importa que en el norte esten a tope o cierren la frontera.
1432126780610162702,crimen,GTM,nacionales pnc asiste a 33 migrantes indocumentados en escuintla un grupo de migrantes fue interceptado este dia en escuintla. los dos hombres que los trasladaban fueron capturados senalados de trafico ilegal de personas.
1394955499771138053,crimen,,"yo no lo defiendo, lo que hago es no criminalizar a las personas que intentan cruzar la frontera. si mi vida y la de mi familia dependiera de cruzar una frontera no tengo dudas de que lo haria."
1426253359548338187,crimen,VEN,que positivo podemos esperar los venezolanos si este delincuente es el jefe de la delegacion venezolana
1188446007366955009,crimen,,por favor atentos con este venezolano que participo en los saqueos de hace algunos dias. abrir investigacion y deportar
1322301559049433089,crimen,COL,"si hay, pero tambien colombianos. ?o es que los venezolanos ensenaramis a los colombianos a delinquir?. es injusto que ahora los venezolanos seamos culpables de todos los males de colombia"
1432450009065299972,crimen,,la pinche guardia pedorra .. valientes con los indefensos inmigrantes pero cobardes con los narcotraficantes. solo para repartir gas sirven hdspm
1474800885171585025,crimen,CHL,saquenlos luego ya hay exceso de inmigrantes y delincuentes chvnoticias
1479051007560765442,crimen,,"aqui difiero, no hay leyes pequenas o leyes grandes, simplemente son leyes y las deben respetar, por ese pensamiento en venezuela estamos como estamos, un estado sin derecho."
