id,text,date,label
1256672684454359040,OJO Solidaridad emoji manos aplaudiendo emoji emoji manos aplaudiendo emoji Infinitas gracias señora Maoli Mao por ayudar a nuestros hermanos venezolanos en Perú. Dios la llene de bendiciones,2021-08-16,0
1086709855673629952,"@usuario @usuario Paga a hacienda, vuelve a Peru, y no regreses, a tus compis de partido no les gustan los inmigrantes, a mi me da igual de donde seas, no me gustas tu.",2021-07-22,0
1199252043774464000,"@usuario Una muy buena noticia para nuestros hermanos migrantes a ver a que hora comienzan a ladrar los perros, no los oigo, si ya se que les Arde, pero, la 4T avanza, aunque se los lleve la tiznada jaja,",2021-11-15,0
1308390290458320896,@usuario Cresta! Pobre gente y pobre de nosotros que ya no aguantamos mas inmigrantes.,2021-10-20,1
1347265781424398336,@usuario Si fueran migrantes estarían transmitiendo en vivo la detención,2021-10-03,0
1194727404490690560,"@usuario @usuario De la misma forma que dejaron solo a millones de Venezolanos que pedimos la ayuda contundente de la comunidad internacional. Y ellos, solo. Bla,bla,bla..!!",2021-11-25,0
1200555469737062400,Guerra contra el narco aumentó número de migrantes desaparecidos url url,2021-11-16,0
1395567564311441408,@usuario @usuario @usuario te pregunto yo a ti porque los venezolanos huyen de Venezuela esa si es la pregunta.. espero tu respuesta..!!,2021-08-11,0
1128418584110219264,Excelente seminario: grandes expositores y profundas reflexiones acerca de la migración en Chile hashtag nuestras vidas se encuentran @usuario url,2021-10-19,0
1319440383856740096,"@usuario @usuario Señora cuando el FREPAP pondra control con tantos venezolanos, la delincuencia en las calles cada ves esta peor, puestos de trabajo desplazados por ""profesionales"" extranjeros oportunistas de 930 soles.",2021-07-03,1
1143642772232134784,Una pregunta sin ofender a nadie.. ¿Por qué hashtag peru puede echar a hashtag venezolanos a la frontera de hashtag chacalluta y sólo hashtag chile es el culpable al demorar su ingreso?,2021-10-20,0
1357326214877306880,@usuario Bueno todo gracias a los inmigrantes ilegales que vienen en patera? Pues mira espero que no venga ningún ilegal más y me prefiero morir de hambre,2021-08-08,1
1161239921165778944,"Atención Coyhaique. Este Chavista,Edgar Castro Díaz,Ex Director Estatal de Minea, se dedicaba a atacar a los Venezolanos opositores a Maduro, junto con los guerrilleros (Colectivos) y la Guardia Nacional. Escapó a Chile haciéndose pasar por refugiado @usuario @usuario url",2021-11-22,0
1150943985126531200,@usuario entonces con el control migratorio no puedo traerme un alien del area 51? Pregunta seria.,2021-11-30,0
1370463034662133504,"@usuario Claro que hay y no hay a donde hecharlos por que ya no hay espacio en las cárceles colombianas, están llenas de delincuentes. Y para comprar de joder el pais llegan delincuentes extranjeros sin control migratorio a unirsen a la fiesta de la delincuencia en Colombia. Jodidos 🤦‍ emoji cara de náuseas emoji",2021-07-16,1
1210268467368222720,"@usuario Le creo,la situación es de cuidado con los migrantes emoji cara radiante con ojos sonrientes emoji emoji cara revolviéndose de la risa emoji emoji cara neutral emoji",2021-07-03,1
1234890992416952320,@usuario @usuario @usuario @usuario @usuario @usuario @usuario Estúpido es considerar que enseñar sobre responsabilidad laboral es mandar a los hijos a trabajar. La cultura de trabajo ya la tiene el chapín. Si no mira cuanto migrante se raja el culo para ser los que sostienen al país con sus remesas.,2021-08-04,0
1387859265323405312,"@usuario No todos los migrantes son expulsados , los que cumplen las leyes de nuestro país y son un aporte y bienvenidos los que se expulsan no han cumplido con los requisitos o han delinquido .",2021-09-06,0
1341570273590599680,"A Chile ingresan todos los días miles de venezolanos en forma ilegal, muchos de ellos con hashtag covid.Llegan a vagar por las calles y pedir limosnas ,el @usuario ya ni se inmuta. Tremendo problema sanitario y social el que se nos viene.",2021-10-20,1
1208966537220120576,"@usuario @usuario @usuario @usuario @usuario @usuario @usuario @usuario @usuario @usuario @usuario Me da mucho gusto, las acciones que se está tomando senador, el apoyo a los migrantes es un factor humanista que no debe dejar de hacerse, en la frontera sur hay puntos claves que de deben trabajar, confiamos que el proyecto del presidente es clave, enhorabuena",2021-08-08,0
1101634770193264640,"@usuario Una encuesta sin sentido, el problema de los venezolanos les afecta a los vecinos directamente, claro eso no lo pensaban cuando los colombianos estaban en una venezuela próspera ayudando a su gente en Colombia.. la gente tiene memoria corta..",2021-11-30,0
1173245639674740736,Ingreso de venezolanos a Colombia aumentó tras activación de alerta naranja url url,2021-11-23,0
1200924677461413888,"@usuario @usuario @usuario Obvio, que sea Brasil con la permeabilidad de sus fronteras Nde bobo",2021-11-29,0
1126545311499993216,"@usuario @usuario @usuario @usuario @usuario @usuario @usuario @usuario @usuario @usuario La diversidad es buena, la diversidad de opinión e intelectual. No el color de piel o la nacionalidad. Si ellos son tan geniales porque sus países son una miseria? Si llegan inmigrantes con una mentalidad de salir adelante y aportar, genial. Si vienen a ser una carga, devuélvase.",2021-11-20,1
1093276270379573248,Salvaron a los inmigrantes de la deportación; ahora enfrentan cargos relacionados con terrorismo url,2021-11-04,0
1194275268988428288,@usuario @usuario Como a los cientos de inmigrantes centroamericanos y africanos que tienen en las estaciones del @usuario en Chiapas esperando sus permisos de tránsito,2021-11-15,0
1105511126626914432,Migración Colombia,2021-11-18,0
1353117048918986752,@usuario @usuario PADRES?? PERO SI EL PUTO PROBLEMA ES QUE SOM BANDAS ORGANIZADAS DE INMIGRANTES ILEGALES!! ESE ES EL PROBLEMA BORREGOS!!,2021-08-02,1
1238567133841362944,"@usuario Clases, cerrar parque rodó shopping, Ahh se asustaron no? Pero si cerrar buen las fronteras, todas.",2021-10-02,0
1178635894481444864,emoji chincheta redonda emoji Gobierno de Maduro: Perú obstaculiza para repatriar venezolanos url,2021-11-24,0
1228102791991660288,"@usuario Miles y miles de migrantes, vienen a México a reclamar lo que no le reclaman a su propio país. México no es un país de primer mundo. Aquí no hay seguridad, ni organizaciones que puedan atender a cada migrante individualmente. Aquí ya hay millones de pobres, entiendan eso.",2021-08-06,1
1166451968279220224,Venezolanos de rodillas y con la bandera rogando entrar a hashtag ecuador luego que se implementara la exigencia de Visa para el ingreso al país. url,2021-11-22,0
1188572727780827136,"@usuario Ya son más de 6 millones de venezolanos que han dejado a Venezuela, porque se cansaron de aguantar hambre y de ver su desfachatez para burlarse del pueblo",2021-08-26,0
1083345082672185216,Fadul: No hace falta muro en la frontera con Haití url,2021-11-12,0
1274664981989114112,"Corte Suprema de hashtag eeuu se pronuncia contra hashtag trump y ampara a migrantes ""dreamers"". Fuente: url url url",2021-08-26,0
1292838074272059904,"esto es agenda globalista y no la queremos en colombia ya tenemos experiencia con dos millones de venezolanos debemos detenerlos. no al hampa comunista en colombia ,no a los delincuentes internacionales,no a los chinos en colombia, no a contratar extranjeros.",2021-06-30,1
1150468035498655616,Redadas se enfocarán en migrantes con orden de deportación definitiva: SRE url,2021-11-11,0
1144269916310105984,@usuario Nunca pensé decir esto en este sexenio pero sr presidente tiene las manos manchadas de sangre con los inmigrantes México no está a la merced de EUA ni tomar la política migratoria de ellos la armada o guardia está para combatir la violencia no para hacerla dejé la chiche de eua,2021-10-17,0
1186053042048831488,"Jjaja de pana, tengo amigos en chile que ya están cruzando la frontera de chile con Peru..",2021-10-20,0
1157457029973381120,Levantan un muro de queso en la frontera entre México y EE.UU. url,2021-11-28,0
1228014970832642048,@usuario @usuario Mi amigo mano dura a la delincuencia y a los operativos d migración lo felicito talvez ud no se acuerde d mi estudiamos juntos en la espe d idiomas en Quito muchas felicidades,2021-10-11,0
1208199795602579712,"Más de 8.00 venezolanos y más de 1.00 cubanos ingresaron a Chile en Octubre. ¿Sin querer queriendo? Chile puede ser invadido sin disparar un tiro. El Estado, apesar de todos los impuestos que pagamos, no nos defiende de agresiones externas ni internas.",2021-08-26,1
1245394120149028864,"No soy Xenofóbica pero que gran problema que el gobierno en su momento no asumiera la crisis de migración , y ahora que ? ellos o los Nacionales menos privilegiados que tienen las mismas carencias.",2021-10-10,1
1370778560219209728,"@usuario @usuario Desde hace 3 años o más están llegando Venezolanos a Colombia y los que llegaban lo hacían para buscar trabajo, pero entre el año pasado y este que comienza, han entrado demasiados delincuentes y los crímenes se han disparado.",2021-10-18,1
1151063682622930048,A ESO VIENEN LOS COLOMBIANOS. MÉXICO DEBE REFORZAR SU FRONTERA SUR. SOLICITAMOS QUE GUATEMALA PAGUE EL MURO HERMOSO QUE NECESITA MÉXICO.,2021-10-19,1
1136469094461522048,A esta hora damos por terminado mega operativo conjunto PNP-MuniLosOlivos en Urb El Trébol. Resultados: 18 extranjeros indocumentados detenidos que serán procesados para determinar su situación migratoria en el país. 18 locales clausurados por no cumplir normas de higiene y otros url,2021-11-20,0
1361840294086529024,@usuario @usuario Pregunten a migrantes que caminan desde Venezuela que les parece el neoliberalismo al lado del paraíso socialista??. Gracias a Dios le enseñan lo que genera bienestar y no lo otro que solo genera miseria y ricos pero políticos y no empresarios. Y esos si que no distribuyen nada.,2021-11-09,0
1117188414686859264,"@usuario En realidad, cada inmigrante aunque no este en una carpa de refugiados.",2021-10-26,0
1080913780014407552,@usuario @usuario Cuántos inmigrantes tienes viviendo en tu casa con tu feliz familia?,2021-11-17,0
1081308882193051648,@usuario Uno de los tesoros no descubiertos de la frontera sur emoji playa y sombrilla emoji,2021-11-28,0
1292320488442789888,@usuario @usuario Jjaja ese ladrón se fugó de su país por ladrón Maduro está trabajando para que su país siga siendo un país próspero y maravilloso a pesar de todo los embiste de los EEUU y los venezolanos lacayos ok,2021-08-28,0
